x,y,time,x_f,y_f
329,270,1688676187.0390122,872.0964963757915,320.28042050197917
372,234,1688676187.1651516,856.3367545034367,321.33982640530206
412,214,1688676187.2827287,839.3952988275997,321.79973311356645
418,211,1688676187.3990273,821.6845455389664,321.60489875800647
431,256,1688676187.5155973,803.4843205685836,320.8531893623982
425,280,1688676187.640825,784.9907730960807,319.7701079196502
407,291,1688676187.7679842,766.3181784754777,318.54911644082733
343,347,1688676187.884093,747.4395480249767,317.36119483223547
292,377,1688676187.9973123,728.1987273536437,316.43379139058095
256,401,1688676188.116954,708.4507987538,315.9498596161964
195,391,1688676188.2828014,688.0954162529632,315.965101325599
120,420,1688676188.366927,666.9746223232962,316.47519714554676
77,436,1688676188.4876842,644.9208249483719,317.51876485176587
-2,438,1688676188.6014483,621.810028647984,319.12577007465626
-51,452,1688676188.7140508,597.522838973575,321.27727294712605
-52,429,1688676188.852008,572.0647151931549,323.9136140648489
-71,373,1688676189.0114179,545.6054969998237,326.839505989746
-54,345,1688676189.080378,518.3732764096302,329.7687291324171
-53,354,1688676189.2044294,490.6322923485766,332.53300158032425
-75,378,1688676189.3231924,462.59413800667477,335.15399245721073
-65,396,1688676189.4428976,434.4059601837395,337.7412256301509
0,427,1688676189.5644538,406.34082902775305,340.41631725795435
154,349,1688676189.680369,378.98050888852043,343.15728397678356
306,290,1688676189.8011854,353.1795617153098,345.6717895116801
478,209,1688676189.9174395,329.8471828346685,347.5634515737676
592,194,1688676190.046879,309.75314249269064,348.541273105225
675,162,1688676190.1731763,293.3813182303523,348.48637596339097
715,149,1688676190.3356392,280.9042522223833,347.373098697942
753,132,1688676190.4750233,272.27931955996274,345.20956396766906
754,127,1688676190.5780225,267.3228598452396,342.0428584549616
742,121,1688676190.7006211,265.71877722739924,337.94880068042187
723,128,1688676190.8211854,267.06214378398255,333.0343285237853
672,143,1688676190.947443,270.8870227931364,327.4482364944123
650,152,1688676191.0626662,276.7005040982232,321.3612602926266
658,109,1688676191.1894867,284.1318891448824,314.84712155363763
668,101,1688676191.336659,292.97323448981905,307.8644932617263
716,140,1688676191.4662104,303.13562578817965,300.47429325153445
674,137,1688676191.5824583,314.51420503275926,292.8607714994483
728,128,1688676191.6914637,326.9406908388838,285.1271466582127
773,116,1688676191.82021,340.39451788912186,277.28303594676134
743,120,1688676191.9454525,354.85566139392495,269.3435468255876
764,127,1688676192.0514474,370.1422072242568,261.3695992137699
799,137,1688676192.1730113,386.14657348957365,253.45249987702448
745,130,1688676192.3009362,402.7536593383021,245.6619016567618
687,143,1688676192.4049094,419.6110178999818,238.04328306624353
693,136,1688676192.532931,436.35352397385674,230.64072060362201
681,163,1688676192.6574914,452.81032517475785,223.5128808595959
641,171,1688676192.7769063,468.83022428491336,216.75309952651088
632,168,1688676192.8911302,484.21754921610864,210.4207754038859
649,171,1688676193.0274935,498.8887589748223,204.51531692876466
643,192,1688676193.1398878,512.8611310339523,199.0615089300926
711,184,1688676193.2387657,526.2332657604862,194.0979133788535
671,180,1688676193.3789294,539.1217864116484,189.60346362122317
651,173,1688676193.4927523,551.4552805779263,185.52143016152036
672,156,1688676193.6255605,563.1335773178904,181.78107286930572
696,157,1688676193.728505,574.2245921736027,178.30977695019124
724,134,1688676193.8661544,584.8671890787023,175.04392258226463
707,112,1688676193.9741528,595.1384704616725,171.88293056604644
723,100,1688676194.0856695,605.0320125302194,168.71862713396263
665,77,1688676194.2306318,614.4666940243972,165.46888196211054
649,91,1688676194.384048,623.265755615089,162.09730615050265
667,97,1688676194.490973,631.3391743179302,158.65256729035985
